show_id,streaming_service,type,title,director,cast,country,country1,country2,country3,country4,country5,country6,date_added,release_year,rating,movie_runtime,number_of_seasons,listed_in,category1,category2,category3,category4,category5
1,Amazon Prime,Movie,The Grand Seduction,Don McKellar,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",Canada,Canada,,,,,,2021-03-30,2014,,113,,"Comedy, Drama",Comedy,Drama,,,
2,Amazon Prime,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",India,India,,,,,,2021-03-30,2018,13+,110,,"Drama, International",Drama,International,,,
3,Amazon Prime,Movie,Secrets of Deception,Josh Webber,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",United States,United States,,,,,,2021-03-30,2017,,74,,"Action, Drama, Suspense",Action,Drama,Suspense,,
4,Amazon Prime,Movie,Pink: Staying True,Sonia Anderson,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",United States,United States,,,,,,2021-03-30,2014,,69,,Documentary,Documentary,,,,
5,Amazon Prime,Movie,Monster Maker,Giles Foster,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",United Kingdom,United Kingdom,,,,,,2021-03-30,1989,,45,,"Drama, Fantasy",Drama,Fantasy,,,
6,Amazon Prime,Movie,Living With Dinosaurs,Paul Weiland,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",United Kingdom,United Kingdom,,,,,,2021-03-30,1989,,52,,"Fantasy, Kids",Fantasy,Kids,,,
7,Amazon Prime,Movie,Hired Gun,Fran Strine,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",United States,United States,,,,,,2021-03-30,2017,,98,,"Documentary, Special Interest",Documentary,Special Interest,,,
8,Amazon Prime,Movie,Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",United States,United States,,,,,,2021-03-30,2016,,131,,Comedy,Comedy,,,,
9,Amazon Prime,Movie,Global Meltdown,Daniel Gilboy,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",Canada,Canada,,,,,,2021-03-30,2017,,87,,"Action, Science Fiction, Suspense",Action,Science Fiction,Suspense,,
10,Amazon Prime,Movie,David's Mother,Robert Allan Ackerman,"Kirstie Alley, Sam Waterston, Stockard Channing",United States,United States,,,,,,2021-04-01,1994,,92,,Drama,Drama,,,,
11,Amazon Prime,Movie,Forest Fairies,Justin G. Dyck,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",Canada,Canada,,,,,,2021-04-04,2016,,88,,"Adventure, Kids",Adventure,Kids,,,
12,Amazon Prime,Movie,Take Care,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",United States,United States,,,,,,2021-04-10,2014,,93,,Comedy,Comedy,,,,
13,Amazon Prime,Movie,The Night Eats The World,Dominique Rocher,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",France,France,,,,,,2021-04-17,2018,,94,,"Horror, Suspense",Horror,Suspense,,,
14,Amazon Prime,Movie,Resilencia,Jep Barcelona,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",Spain,Spain,,,,,,2021-04-24,2020,,46,,"Documentary, Sports",Documentary,Sports,,,
15,Amazon Prime,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",United Kingdom,United Kingdom,,,,,,2021-05-02,2018,,74,,Documentary,Documentary,,,,
16,Amazon Prime,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",United States,United States,,,,,,2021-06-03,2019,,96,,"Comedy, Drama",Comedy,Drama,,,
17,Amazon Prime,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",,,,,,,,,2016,13+,87,,"Horror, Science Fiction",Horror,Science Fiction,,,
18,Amazon Prime,TV Show,Zoo Babies,,Narrator - Gillian Barlett,,,,,,,,,2008,ALL,,1,"Kids, Special Interest",Kids,Special Interest,,,
19,Amazon Prime,TV Show,Zoë Coombs Marr: Bossy Bottom,,Zoë Coombs Marr,,,,,,,,,2020,18+,,1,"Comedy, Talk Show and Variety",Comedy,Talk Show and Variety,,,
20,Amazon Prime,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",,,,,,,,,2018,R,104,,Science Fiction,Science Fiction,,,,
