show_id,streaming_service,type,title,director,cast,country,country1,country2,country3,country4,country5,country6,date_added,release_year,rating,movie_runtime,number_of_seasons,listed_in,category1,category2,category3,category4,category5
1,Hulu,Movie,Ricky Velez: Here's Everything,,,,,,,,,,2021-10-24,2021,TV-MA,,,"Comedy, Stand Up",Comedy,Stand Up,,,
2,Hulu,Movie,Silent Night,,,,,,,,,,2021-10-23,2020,,94,,"Crime, Drama, Thriller",Crime,Drama,Thriller,,
3,Hulu,Movie,The Marksman,,,,,,,,,,2021-10-23,2021,PG-13,108,,"Action, Thriller",Action,Thriller,,,
4,Hulu,Movie,Gaia,,,,,,,,,,2021-10-22,2021,R,97,,Horror,Horror,,,,
5,Hulu,Movie,Settlers,,,,,,,,,,2021-10-22,2021,,104,,"Science Fiction, Thriller",Science Fiction,Thriller,,,
6,Hulu,TV Show,The Halloween Candy Magic Pet,,,,,,,,,,2021-10-22,2021,,,1,"Family, Kids",Family,Kids,,,
7,Hulu,Movie,The Evil Next Door,,,,,,,,,,2021-10-21,2020,,88,,"Horror, Thriller",Horror,Thriller,,,
8,Hulu,TV Show,The Next Thing You Eat,,,,,,,,,,2021-10-21,2021,,,1,"Cooking & Food, Documentaries, Lifestyle & Culture",Cooking & Food,Documentaries,Lifestyle & Culture,,
9,Hulu,TV Show,Queens,,,,,,,,,,2021-10-20,2021,TV-14,,1,"Drama, Music",Drama,Music,,,
10,Hulu,TV Show,The Bachelorette,,,United States,United States,,,,,,2021-10-20,2003,TV-14,,3,"Reality, Romance",Reality,Romance,,,
11,Hulu,TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,,,,,,,,,,2021-10-19,2021,,,1,"Music, News",Music,News,,,
12,Hulu,Movie,Dream Horse,,,,,,,,,,2021-10-18,2020,PG,113,,"Comedy, Drama",Comedy,Drama,,,
13,Hulu,Movie,Out of the Shadows: The Man Behind the Steele Dossier,,,,,,,,,,2021-10-18,2021,,,,News,News,,,,
14,Hulu,TV Show,Wakefield,,,,,,,,,,2021-10-18,2021,,,1,"Drama, Mystery",Drama,Mystery,,,
15,Hulu,TV Show,Home Sweet Home,,,,,,,,,,2021-10-16,2021,TV-PG,,1,Reality,Reality,,,,
16,Hulu,Movie,Showtime Championship Boxing: Lopez vs. Salido (R),,,,,,,,,,2021-10-16,2011,,,,Sports,Sports,,,,
17,Hulu,TV Show,Showtime Championship Boxing: Wilder vs. Molina,,,,,,,,,,2021-10-16,2015,TV-14,,1,Sports,Sports,,,,
18,Hulu,TV Show,America's Book of Secrets,,,United States,United States,,,,,,2021-10-15,2012,TV-14,,1,"Documentaries, History",Documentaries,History,,,
19,Hulu,TV Show,Beyond Oak Island,,,,,,,,,,2021-10-15,2020,TV-PG,,1,"History, Reality",History,Reality,,,
20,Hulu,TV Show,Beyond Scared Straight,,,United States,United States,,,,,,2021-10-15,2011,TV-14,,6,"Documentaries, Reality, Teen",Documentaries,Reality,Teen,,
21,Hulu,Movie,Cheer Camp Killer,,,,,,,,,,2021-10-15,2020,TV-14,87,,Thriller,Thriller,,,,
22,Hulu,TV Show,Hoarders,,,United States,United States,,,,,,2021-10-15,2009,TV-PG,,7,"Health & Wellness, Lifestyle & Culture, Reality",Health & Wellness,Lifestyle & Culture,Reality,,
23,Hulu,TV Show,Little Women: Atlanta,,,United States,United States,,,,,,2021-10-15,2016,TV-14,,2,"Black Stories, Reality",Black Stories,Reality,,,
24,Hulu,TV Show,Marrying Millions,,,,,,,,,,2021-10-15,2019,TV-14,,2,"Documentaries, Reality, Romance",Documentaries,Reality,Romance,,
