Title,Genre,Premiere,Runtime,IMDB Score,Language,Language1,Language2,Language3
Moxie,Drama,2021-03-03,111,6.7,English,English,,
Biggie: I Got a Story to Tell,Documentary,2021-03-01,97,6.9,English,English,,
The Girl on the Train,Thriller,2021-02-26,120,4.4,Hindi,Hindi,,
Crazy About Her,Romantic comedy,2021-02-26,102,6.6,Spanish,Spanish,,
Geez & Ann,Romantic drama,2021-02-25,105,5.1,Indonesian,Indonesian,,
Pele,Documentary,2021-02-23,108,7,English,English,,
To All the Boys: Always and Forever,Romantic comedy,2021-02-12,109,6.3,English,English,,
Squared Love,Romantic comedy,2021-02-11,102,5,Polish,Polish,,
Red Dot,Thriller,2021-02-11,86,5.5,Swedish,Swedish,,
Layla Majnun,Romantic drama,2021-02-11,119,6.4,Indonesian,Indonesian,,
The Misadventures of Hedi and Cokeman,Comedy,2021-02-10,99,4.5,French,French,,
"Strip Down, Rise Up",Documentary,2021-02-05,112,5.2,English,English,,
The Last Paradiso,Romantic drama,2021-02-05,107,5.6,Italian,Italian,,
Space Sweepers,Science fiction,2021-02-05,136,6.6,Korean,Korean,,
Malcolm & Marie,Romantic drama,2021-02-05,106,6.7,English,English,,
Finding 'Ohana,Family,2021-01-29,123,6.1,English,English,,
Below Zero,Drama,2021-01-29,106,6.2,Spanish,Spanish,,
The Dig,Drama,2021-01-29,112,7.1,English,English,,
June & Kopi,Drama,2021-01-28,90,6.3,Indonesian,Indonesian,,
The White Tiger,Drama,2021-01-22,125,7.1,English,English,,
Outside the Wire,Action/Science fiction,2021-01-15,114,5.4,English,English,,
Double Dad,Comedy-drama,2021-01-15,103,5.6,Portuguese,Portuguese,,
Tribhanga – Tedhi Medhi Crazy,Drama,2021-01-15,95,6.1,Hindi,Hindi,,
What Would Sophia Loren Do?,Documentary,2021-01-15,32,6.6,English,English,,
The Heartbreak Club,Comedy-drama,2021-01-14,101,6.4,Indonesian,Indonesian,,
"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021-01-11,89,6.7,English,English,,
Stuck Apart,Drama,2021-01-08,96,6.1,Turkish,Turkish,,
Pieces of a Woman,Drama,2021-01-07,126,7.1,English,English,,
Tony Parker: The Final Shot,Documentary,2021-01-06,98,6.8,French,French,,
What Happened to Mr. Cha?,Comedy,2021-01-01,102,4.3,Korean,Korean,,
The Minimalists: Less Is Now,Documentary,2021-01-01,53,5.9,English,English,,
Cops and Robbers,Animation / Short,2020-12-28,7,6.9,English,English,,
Death to 2020,Comedy,2020-12-27,70,6.8,English,English,,
We Can Be Heroes,Superhero,2020-12-25,100,4.7,English,English,,
AK vs AK,Thriller,2020-12-24,108,6.9,Hindi,Hindi,,
The Midnight Sky,Science fiction,2020-12-23,118,5.6,English,English,,
"Ariana Grande: Excuse Me, I Love You",Concert Film,2020-12-21,97,6.4,English,English,,
Ma Rainey's Black Bottom,Drama,2020-12-18,94,7,English,English,,
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,2020-12-18,31,7,English,English,,
A California Christmas,Romantic comedy,2020-12-14,107,5.8,English,English,,
The Prom,Musical,2020-12-11,132,5.9,English,English,,
Canvas,Animation / Short,2020-12-11,9,6.5,English,English,,
Giving Voice,Documentary,2020-12-11,90,6.7,English,English,,
Rose Island,Comedy,2020-12-09,117,7,Italian,Italian,,
Emicida: AmarElo - It's All For Yesterday,Documentary,2020-12-08,89,8.6,Portuguese,Portuguese,,
The Claus Family,Fantasy,2020-12-07,96,5.8,Dutch,Dutch,,
Leyla Everlasting,Comedy,2020-12-04,112,3.7,Turkish,Turkish,,
Christmas Crossfire,Thriller,2020-12-04,106,4.8,German,German,,
Mank,Biopic,2020-12-04,132,6.9,English,English,,
Just Another Christmas,Comedy,2020-12-03,101,6.7,Portuguese,Portuguese,,
Angela's Christmas Wish,Animation,2020-12-01,47,7.1,English,English,,
Finding Agnes,Drama,2020-11-30,105,4.7,Filipino,Filipino,,
The Call,Drama,2020-11-27,112,4.1,Korean,Korean,,
The Beast,Drama,2020-11-27,99,5.2,Italian,Italian,,
Dance Dreams: Hot Chocolate Nutcracker,Documentary,2020-11-27,80,7.1,English,English,,
The Christmas Chronicles: Part Two,Christmas comedy,2020-11-25,115,6,English,English,,
Shawn Mendes: Live in Concert,Concert Film,2020-11-25,87,7.4,English,English,,
Notes for My Son,Drama,2020-11-24,83,6.3,Spanish,Spanish,,
Hillbilly Elegy,Drama,2020-11-24,117,6.7,English,English,,
Shawn Mendes: In Wonder,Documentary,2020-11-23,83,6.6,English,English,,
Dolly Parton's Christmas on the Square,Christmas musical,2020-11-22,98,5.2,English,English,,
Alien Xmas,Stop Motion,2020-11-20,42,6.2,English,English,,
